holiday_date,holiday_name
01-01-2013,New Year's Day
21-01-2013,"Birthday of Martin Luther King, Jr."
18-02-2013,Washington's Birthday
27-05-2013,Memorial Day
04-07-2013,Independence Day
02-09-2013,Labor Day
14-10-2013,Columbus Day
11-11-2013,Veterans Day
28-11-2013,Thanksgiving Day
25-12-2013,Christmas Day
01-01-2014,New Year’s Day
20-01-2014,"Birthday of Martin Luther King, Jr."
17-02-2014,Washington’s Birthday
26-05-2014,Memorial Day
04-07-2014,Independence Day
01-09-2014,Labor Day
13-10-2014,Columbus Day
11-11-2014,Veterans Day
27-11-2014,Thanksgiving Day
25-12-2014,Christmas Day
01-01-2015,New Year’s Day
19-01-2015,"Birthday of Martin Luther King, Jr."
16-02-2015,Washington’s Birthday
25-05-2015,Memorial Day
03-07-2015,Independence Day
07-09-2015,Labor Day
12-10-2015,Columbus Day
11-11-2015,Veterans Day
26-11-2015,Thanksgiving Day
25-12-2015,Christmas Day
01-01-2016,New Year’s Day
18-01-2016,"Birthday of Martin Luther King, Jr."
15-02-2016,Washington’s Birthday
30-05-2016,Memorial Day
04-07-2016,Independence Day
05-09-2016,Labor Day
10-10-2016,Columbus Day
11-11-2016,Veterans Day
24-11-2016,Thanksgiving Day
26-12-2016,Christmas Day
02-01-2017,New Year’s Day
16-01-2017,"Birthday of Martin Luther King, Jr."
20-02-2017,Washington’s Birthday
29-05-2017,Memorial Day
04-07-2017,Independence Day
04-09-2017,Labor Day
09-10-2017,Columbus Day
10-11-2017,Veterans Day
23-11-2017,Thanksgiving Day
25-12-2017,Christmas Day
01-01-2018,New Year’s Day
15-01-2018,"Birthday of Martin Luther King, Jr."
19-02-2018,Washington’s Birthday
28-05-2018,Memorial Day
04-07-2018,Independence Day
03-09-2018,Labor Day
08-10-2018,Columbus Day
12-11-2018,Veterans Day
22-11-2018,Thanksgiving Day
25-12-2018,Christmas Day
01-01-2019,New Year’s Day
21-01-2019,"Birthday of Martin Luther King, Jr."
18-02-2019,Washington’s Birthday
27-05-2019,Memorial Day
04-07-2019,Independence Day
02-09-2019,Labor Day
14-10-2019,Columbus Day
11-11-2019,Veterans Day
28-11-2019,Thanksgiving Day
25-12-2019,Christmas Day
01-01-2020,New Year’s Day
20-01-2020,"Birthday of Martin Luther King, Jr."
17-02-2020,Washington’s Birthday
25-05-2020,Memorial Day
03-07-2020,Independence Day
07-09-2020,Labor Day
12-10-2020,Columbus Day
11-11-2020,Veterans Day
26-11-2020,Thanksgiving Day
25-12-2020,Christmas Day
01-01-2021,New Year's Day
18-01-2021,"Birthday of Martin Luther King, Jr."
20-01-2021,Inauguration Day
15-02-2021,Washington’s Birthday
31-05-2021,Memorial Day
18-06-2021,Juneteenth National Independence Day
05-07-2021,Independence Day
06-09-2021,Labor Day
11-10-2021,Columbus Day
11-11-2021,Veterans Day
25-11-2021,Thanksgiving Day
24-12-2021,Christmas Day
31-12-2022,New Year's Day
17-01-2022,"Birthday of Martin Luther King, Jr."
21-02-2022,Washington’s Birthday
30-05-2022,Memorial Day
20-06-2022,Juneteenth National Independence Day
04-07-2022,Independence Day
05-09-2022,Labor Day
10-10-2022,Columbus Day
11-11-2022,Veterans Day
24-11-2022,Thanksgiving Day
26-12-2022,Christmas Day
02-01-2023,New Year’s Day
16-01-2023,"Birthday of Martin Luther King, Jr."
20-02-2023,Washington’s Birthday
29-05-2023,Memorial Day
19-06-2023,Juneteenth National Independence Day
04-07-2023,Independence Day
04-09-2023,Labor Day
09-10-2023,Columbus Day
10-11-2023,Veterans Day
23-11-2023,Thanksgiving Day
25-12-2023,Christmas Day
